original_file,segment_file,Start_time (s),End_time (s),Clements2024_Scientific_Name,Confidence,latitude,longitude,project,locality,punto,municipality,timestamp,aru_type,recorder,habitat
./Calima/Despliegue4/Punto_26_202505_CA32/A6FA48B1_20250526_074500.WAV,./Calima/Validation_1to5/random100_perch/Setophaga_fusca/2100299_A6FA48B1_20250526_074500.flac,40,45,Setophaga fusca,0.07987953,4.016158,-76.475501,Calima,ElTesoro,26,Darien,20250526_074500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_24_202502_CA27/A6B8FF18_20250220_110500.WAV,./Calima/Validation_1to5/random100_perch/Buteo_platypterus/914331_A6B8FF18_20250220_110500.flac,20,25,Buteo platypterus,0.052112147,3.90789,-76.61079,Calima,RioBravo,24,Darien,20250220_110500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_14_202506_M2/1E57904A_20250623_123000.WAV,./Calima/Validation_1to5/random100_perch/Empidonax_alnorum/2150048_1E57904A_20250623_123000.flac,40,45,Empidonax alnorum,0.04316092,3.96468,-76.50728,Calima,Ensueno,14,Darien,20250623_123000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_18_202502_CA28/3B983DB7_20250201_145500.WAV,./Calima/Validation_1to5/random100_perch/Contopus_cooperi/497813_3B983DB7_20250201_145500.flac,0,5,Contopus cooperi,0.09474802,4.04101,-76.41603,Calima,Natilla,18,Darien,20250201_145500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_26_202505_CA32/A6FA48B1_20250515_064000.WAV,./Calima/Validation_1to5/random100_perch/Ceratopipra_mentalis/2074804_A6FA48B1_20250515_064000.flac,55,60,Ceratopipra mentalis,0.047070365,4.016158,-76.475501,Calima,ElTesoro,26,Darien,20250515_064000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_21_202505_CA8/85926BE7_20250531_160000.WAV,./Calima/Validation_1to5/random100_perch/Pipreola_aureopectus/1926956_85926BE7_20250531_160000.flac,55,60,Pipreola aureopectus,0.07462069,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250531_160000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_25_202506_CA33/CB647E8D_20250610_130000.WAV,./Calima/Validation_1to5/random100_perch/Ceratopipra_erythrocephala/2578944_CB647E8D_20250610_130000.flac,35,40,Ceratopipra erythrocephala,0.019588895,4.009018,-76.478116,Calima,ElTesoro,25,Darien,20250610_130000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_6_202412_CA4/9BB2C176_20241214_224000.WAV,./Calima/Validation_1to5/random100_perch/Laterallus_melanophaius/167296_9BB2C176_20241214_224000.flac,35,40,Laterallus melanophaius,0.041284833,3.908615,-76.60555,Calima,RioBravo,6,Darien,20241214_174000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_5_202411_CA4/9BB2C176_20241123_132000.WAV,./Calima/Validation_1to5/random100_perch/Buteo_platypterus/119896_9BB2C176_20241123_132000.flac,30,35,Buteo platypterus,0.02140967,3.965504,-76.413462,Calima,Tesoro,5,Darien,20241123_082000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_2_202411_CA3/660E9F11_20241123_175500.WAV,./Calima/Validation_1to5/random100_perch/Ceratopipra_erythrocephala/17978_660E9F11_20241123_175500.flac,35,40,Ceratopipra erythrocephala,0.021749679,3.939987,-76.485408,Calima,Ensueno,2,Darien,20241123_125500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_22_202504_CA5/445B1132_20250413_064000.WAV,./Calima/Validation_1to5/random100_perch/Ixothraupis_rufigula/1289136_445B1132_20250413_064000.flac,15,20,Ixothraupis rufigula,0.29348513,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250413_064000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_27_202504_CA6/352F4986_20250409_063500.WAV,./Calima/Validation_1to5/random100_perch/Formicarius_rufipectus/1477454_352F4986_20250409_063500.flac,25,30,Formicarius rufipectus,0.2845545,3.911739,-76.607379,Calima,RioBravo,27,Darien,20250409_063500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_19_202507_CA1/0DCAD56D_20250706_113500.WAV,./Calima/Validation_1to5/random100_perch/Bartramia_longicauda/2327951_0DCAD56D_20250706_113500.flac,15,20,Bartramia longicauda,0.0362968,4.00888,-76.48257,Calima,ElTesoro,19,Darien,20250706_113500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_21_202505_CA8/85926BE7_20250524_140500.WAV,./Calima/Validation_1to5/random100_perch/Vireo_flavifrons/1910548_85926BE7_20250524_140500.flac,15,20,Vireo flavifrons,0.018655024,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250524_140500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_23_202506_CA29/E0E5570B_20250612_114000.WAV,./Calima/Validation_1to5/random100_perch/Leiothlypis_peregrina/2526292_E0E5570B_20250612_114000.flac,30,35,Leiothlypis peregrina,0.034523454,4.00779,-76.47462,Calima,ElTesoro,23,Darien,20250612_114000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_21_202506_CA8/85926BE7_20250615_172000.WAV,./Calima/Validation_1to5/random100_perch/Pipreola_jucunda/2404983_85926BE7_20250615_172000.flac,25,30,Pipreola jucunda,0.053977143,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250615_172000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_25_202506_CA33/CB647E8D_20250624_172500.WAV,./Calima/Validation_1to5/random100_perch/Micrastur_semitorquatus/2611819_CB647E8D_20250624_172500.flac,50,55,Micrastur semitorquatus,0.013874975,4.009018,-76.478116,Calima,ElTesoro,25,Darien,20250624_172500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_15_202501_01N/4A238C69_20250130_072500.WAV,./Calima/Validation_1to5/random100_perch/Odontophorus_hyperythrus/282791_4A238C69_20250130_072500.flac,20,25,Odontophorus hyperythrus,0.15698925,3.96796,-76.50595,Calima,Ensueno,15,Darien,20250130_072500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_15_202502_01N/4A238C69_20250219_093500.WAV,./Calima/Validation_1to5/random100_perch/Scytalopus_vicinior/329165_4A238C69_20250219_093500.flac,10,15,Scytalopus vicinior,0.10709355,3.96796,-76.50595,Calima,Ensueno,15,Darien,20250219_093500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_16_202504_CA25/019308C2_20250410_185500.WAV,./Calima/Validation_1to5/random100_perch/Aburria_aburri/1071642_019308C2_20250410_185500.flac,55,60,Aburria aburri,0.013795005,3.96591,-76.50415,Calima,Ensueno,16,Darien,20250410_185500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_16_202506_CA25/019308C2_20250612_093500.WAV,./Calima/Validation_1to5/random100_perch/Coccyzus_erythropthalmus/2177041_019308C2_20250612_093500.flac,0,5,Coccyzus erythropthalmus,0.09178709,3.96591,-76.50415,Calima,Ensueno,16,Darien,20250612_093500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_22_202505_CA5/445B1132_20250512_075000.WAV,./Calima/Validation_1to5/random100_perch/Myiodynastes_luteiventris/1948951_445B1132_20250512_075000.flac,5,10,Myiodynastes luteiventris,0.100621596,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250512_075000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_18_202502_CA28/3B983DB7_20250204_075000.WAV,./Calima/Validation_1to5/random100_perch/Trogon_cupreicauda/503704_3B983DB7_20250204_075000.flac,10,15,Trogon cupreicauda,0.2768136,4.04101,-76.41603,Calima,Natilla,18,Darien,20250204_075000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue3/Punto_22_202504_CA5/445B1132_20250413_164000.WAV,./Calima/Validation_1to5/random100_perch/Ceratopipra_mentalis/1290577_445B1132_20250413_164000.flac,20,25,Ceratopipra mentalis,0.06385579,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250413_164000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_21_202506_CA8/85926BE7_20250606_053000.WAV,./Calima/Validation_1to5/random100_perch/Buteo_platypterus/1939258_85926BE7_20250606_053000.flac,10,15,Buteo platypterus,0.025641225,4.00893,-76.48253,Calima,ElTesoro,21,Darien,20250606_053000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue1/Punto_6_202412_CA4/9BB2C176_20241223_195000.WAV,./Calima/Validation_1to5/random100_perch/Coccyzus_erythropthalmus/187620_9BB2C176_20241223_195000.flac,15,20,Coccyzus erythropthalmus,0.014297676,3.908615,-76.60555,Calima,RioBravo,6,Darien,20241223_145000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_20_202505_CA3/660E9F11_20250518_114000.WAV,./Calima/Validation_1to5/random100_perch/Ictinia_mississippiensis/1867279_660E9F11_20250518_114000.flac,55,60,Ictinia mississippiensis,0.033439927,4.01164,-76.47372,Calima,ElTesoro,20,Darien,20250518_114000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_22_202507_CA5/445B1132_20250704_121000.WAV,./Calima/Validation_1to5/random100_perch/Chlorochrysa_nitidissima/2509053_445B1132_20250704_121000.flac,0,5,Chlorochrysa nitidissima,0.036048397,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250704_121000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue4/Punto_25_202506_CA33/CB647E8D_20250601_095000.WAV,./Calima/Validation_1to5/random100_perch/Grallaria_alleni/2051317_CB647E8D_20250601_095000.flac,35,40,Grallaria alleni,0.046745196,4.009018,-76.478116,Calima,ElTesoro,25,Darien,20250601_095000,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue2/Punto_17_202502_CA26/B45B64F7_20250224_162500.WAV,./Calima/Validation_1to5/random100_perch/Cardellina_canadensis/480671_B45B64F7_20250224_162500.flac,10,15,Cardellina canadensis,0.10736103,3.96801,-76.50336,Calima,Ensueno,17,Darien,20250224_162500,audiomoth,Jimena Benavides,unknown
./Calima/Despliegue5/Punto_22_202507_CA5/445B1132_20250706_103500.WAV,./Calima/Validation_1to5/random100_perch/Rupicola_peruvianus/2513443_445B1132_20250706_103500.flac,50,55,Rupicola peruvianus,0.011345063,4.01209,-76.47209,Calima,ElTesoro,22,Darien,20250706_103500,audiomoth,Jimena Benavides,unknown
