startTime,endTime,speciesName,confidence,mediaID,recorderID,deploymentGroups,projectName,latitude,longitude,deploymentStart,deploymentEnd
24.0,27.0,Ciccaba virgata,0.3388,G7276_20240220_013000.WAV,G7276,season t1,GEOPARK_PUTUMAYO_2024,0.496634,-76.327401,2024-02-11,2024-03-03
18.0,21.0,Tyrannus melancholicus,0.1552,G6462_20240209_173000.WAV,G6462,season t1,GEOPARK_PUTUMAYO_2024,0.486133,-76.323221,2024-02-08,2024-03-02
45.0,48.0,Zebrilus undulatus,0.3862,G6406_20240222_210000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
45.0,48.0,Pulsatrix perspicillata,0.1026,G6376_20240218_183000.WAV,G6376,season t1,GEOPARK_PUTUMAYO_2024,0.481171,-76.322907,2024-02-08,2024-03-02
39.0,42.0,Pulsatrix perspicillata,0.1332,G6414_20240222_003000.WAV,G6414,season t1,GEOPARK_PUTUMAYO_2024,0.467771,-76.328433,2024-02-07,2024-03-02
21.0,24.0,Pulsatrix perspicillata,0.1746,G6403_20240301_050000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
18.0,21.0,Heliomaster longirostris,0.5603,G6394_20240221_190000.WAV,G6394,season t1,GEOPARK_PUTUMAYO_2024,0.47208,-76.3288,2024-02-07,2024-03-02
0.0,3.0,Nothocrax urumutum,0.1919,G6418_20240228_210000.WAV,G6418,season t1,GEOPARK_PUTUMAYO_2024,0.50345,-76.322483,2024-02-12,2024-03-02
33.0,36.0,Myrmothera campanisona,0.1195,G6468_20240217_153000.WAV,G6468,season t1,GEOPARK_PUTUMAYO_2024,0.468108,-76.32182,2024-02-07,2024-03-02
51.0,54.0,Lophostrix cristata,0.116,G6419_20240212_040000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
18.0,21.0,Nyctibius griseus,0.1801,G6384_20240221_003000.WAV,G6384,season t1,GEOPARK_PUTUMAYO_2024,0.466205,-76.322577,2024-02-07,2024-03-02
12.0,15.0,Pulsatrix perspicillata,0.1935,G6419_20240228_033000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
39.0,42.0,Zebrilus undulatus,0.1775,G6408_20240219_183000.WAV,G6408,season t1,GEOPARK_PUTUMAYO_2024,0.484805,-76.317756,2024-02-08,2024-03-02
39.0,42.0,Pulsatrix perspicillata,0.4052,G6403_20240211_000000.WAV,G6403,season t1,GEOPARK_PUTUMAYO_2024,0.487424,-76.318568,2024-02-09,2024-03-02
42.0,45.0,Lurocalis semitorquatus,0.4414,G6421_20240218_200000.WAV,G6421,season t1,GEOPARK_PUTUMAYO_2024,0.480966,-76.318115,2024-02-08,2024-03-02
30.0,33.0,Psarocolius angustifrons,0.5259,G6370_20240218_170000.WAV,G6370,season t1,GEOPARK_PUTUMAYO_2024,0.501763,-76.323853,2024-02-12,2024-03-02
9.0,12.0,Ceratopipra erythrocephala,0.1739,G6464_20240217_150000.WAV,G6464,season t1,GEOPARK_PUTUMAYO_2024,0.483653,-76.316732,2024-02-09,2024-03-02
51.0,54.0,Emberizoides herbicola,0.1162,G6428_20240229_143000.WAV,G6428,season t1,GEOPARK_PUTUMAYO_2024,0.5002,-76.325689,2024-02-13,2024-03-02
0.0,3.0,Pulsatrix perspicillata,0.1036,G6455_20240226_193000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
39.0,42.0,Pulsatrix perspicillata,0.1555,G6394_20240213_220000.WAV,G6394,season t1,GEOPARK_PUTUMAYO_2024,0.47208,-76.3288,2024-02-07,2024-03-02
48.0,51.0,Pulsatrix perspicillata,0.13,G6371_20240224_200000.WAV,G6371,season t1,GEOPARK_PUTUMAYO_2024,0.47182,-76.3307,2024-02-07,2024-03-02
33.0,36.0,Pulsatrix perspicillata,0.193,G6406_20240301_193000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
57.0,60.0,Pulsatrix perspicillata,0.2063,G6376_20240213_223000.WAV,G6376,season t1,GEOPARK_PUTUMAYO_2024,0.481171,-76.322907,2024-02-08,2024-03-02
3.0,6.0,Rupicola rupicola,0.143,G6455_20240228_170000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
36.0,39.0,Pulsatrix perspicillata,0.1618,G6383_20240212_223000.WAV,G6383,season t1,GEOPARK_PUTUMAYO_2024,0.496405,-76.325589,2024-02-11,2024-03-03
0.0,3.0,Nothocrax urumutum,0.1044,G6381_20240224_013000.WAV,G6381,season t1,GEOPARK_PUTUMAYO_2024,0.467902,-76.324046,2024-02-07,2024-03-02
48.0,51.0,Pulsatrix perspicillata,0.188,G6395_20240228_030000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
30.0,33.0,Pulsatrix perspicillata,0.1671,G6406_20240213_233000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
9.0,12.0,Sporophila minuta,0.1279,G6384_20240209_140000.WAV,G6384,season t1,GEOPARK_PUTUMAYO_2024,0.466205,-76.322577,2024-02-07,2024-03-02
15.0,18.0,Lophostrix cristata,0.1157,G6398_20240215_230000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
21.0,24.0,Zebrilus undulatus,0.6381,G6394_20240228_200000.WAV,G6394,season t1,GEOPARK_PUTUMAYO_2024,0.47208,-76.3288,2024-02-07,2024-03-02
15.0,18.0,Crypturellus undulatus,0.1825,G6429_20240212_233000.WAV,G6429,season t1,GEOPARK_PUTUMAYO_2024,0.484917,-76.325309,2024-02-09,2024-03-02
3.0,6.0,Pulsatrix perspicillata,0.1042,G6442_20240216_023000.WAV,G6442,season t1,GEOPARK_PUTUMAYO_2024,0.481959,-76.319523,2024-02-08,2024-03-02
48.0,51.0,Pulsatrix perspicillata,0.3662,G6464_20240211_033000.WAV,G6464,season t1,GEOPARK_PUTUMAYO_2024,0.483653,-76.316732,2024-02-09,2024-03-02
45.0,48.0,Thraupis palmarum,0.8204,G7276_20240214_110000.WAV,G7276,season t1,GEOPARK_PUTUMAYO_2024,0.496634,-76.327401,2024-02-11,2024-03-03
24.0,27.0,Pulsatrix perspicillata,0.1527,G6395_20240301_023000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
57.0,60.0,Pitangus sulphuratus,0.1269,G6384_20240212_153000.WAV,G6384,season t1,GEOPARK_PUTUMAYO_2024,0.466205,-76.322577,2024-02-07,2024-03-02
3.0,6.0,Megascops watsonii,0.1097,G6371_20240214_033000.WAV,G6371,season t1,GEOPARK_PUTUMAYO_2024,0.47182,-76.3307,2024-02-07,2024-03-02
15.0,18.0,Lophostrix cristata,0.2502,G6395_20240219_050000.WAV,G6395,season t1,GEOPARK_PUTUMAYO_2024,0.48317,-76.321262,2024-02-08,2024-03-02
